x,y,z,pitch,yaw,roll
0,0.5,500,0,0,0
0,1.0,500,0,0,0
0,1.5,500,0,0,0
0,2.0,500,0,0,0
0,2.5,500,0,0,0
0,3.0,500,0,0,0
0,3.5,500,0,0,0
0,4.0,500,0,0,0
0,4.5,500,0,0,0
0,5.0,500,0,0,0
0,5.5,500,0,0,0
0,6.0,500,0,0,0
0,6.5,500,0,0,0
0,7.0,500,0,0,0
0,7.5,500,0,0,0
0,8.0,500,0,0,0
0,8.5,500,0,0,0
0,9.0,500,0,0,0
0,9.5,500,0,0,0
0,10.0,500,0,0,0
0,10.5,500,0,0,1
0,11.0,500,0,0,2
0,11.5,500,0,0,3
0,12.0,500,0,0,4
0,12.5,500,0,0,5
0,13.0,500,0,0,6
0,13.5,500,0,0,7
0,14.0,500,0,0,8
0,14.5,500,0,0,9
0,15.0,500,0,0,10
0,15.5,500,0,0,11
0,16.0,500,0,0,12
0,16.5,500,0,0,13
0,17.0,500,0,0,14
0,17.5,500,0,0,15
0,18.0,500,0,0,16
0,18.5,500,0,0,17
0,19.0,500,0,0,18
0,19.5,500,0,0,19
0,20.0,500,0,0,20
0,20.5,500,0,0,21
0,21.0,500,0,0,22
0,21.5,500,0,0,23
0,22.0,500,0,0,24
0,22.5,500,0,0,25
0,23.0,500,0,0,26
0,23.5,500,0,0,27
0,24.0,500,0,0,28
0,24.5,500,0,0,29
0,25.0,500,0,0,30
0,25.5,500,0,0,31
0,26.0,500,0,0,32
0,26.5,500,0,0,33
0,27.0,500,0,0,34
0,27.5,500,0,0,35
0,28.0,500,0,0,36
0,28.5,500,0,0,37
0,29.0,500,0,0,38
0,29.5,500,0,0,39
0,30.0,500,0,0,40
0,30.5,500,0,0,41
0,31.0,500,0,0,42
0,31.5,500,0,0,43
0,32.0,500,0,0,44
0,32.5,500,0,0,45
0,33.0,500,0,0,46
0,33.5,500,0,0,47
0,34.0,500,0,0,48
0,34.5,500,0,0,49
0,35.0,500,0,0,50
0,35.5,500,0,0,51
0,36.0,500,0,0,52
0,36.5,500,0,0,53
0,37.0,500,0,0,54
0,37.5,500,0,0,55
0,38.0,500,0,0,56
0,38.5,500,0,0,57
0,39.0,500,0,0,58
0,39.5,500,0,0,59
0,40.0,500,0,0,60
0,40.5,500,0,0,61
0,41.0,500,0,0,62
0,41.5,500,0,0,63
0,42.0,500,0,0,64
0,42.5,500,0,0,65
0,43.0,500,0,0,66
0,43.5,500,0,0,67
0,44.0,500,0,0,68
0,44.5,500,0,0,69
0,45.0,500,0,0,70
0,45.5,500,0,0,71
0,46.0,500,0,0,72
0,46.5,500,0,0,73
0,47.0,500,0,0,74
0,47.5,500,0,0,75
0,48.0,500,0,0,76
0,48.5,500,0,0,77
0,49.0,500,0,0,78
0,49.5,500,0,0,79
0,50.0,500,0,0,80
0,50.5,500,0,0,81
0,51.0,500,0,0,82
0,51.5,500,0,0,83
0,52.0,500,0,0,84
0,52.5,500,0,0,85
0,53.0,500,0,0,86
0,53.5,500,0,0,87
0,54.0,500,0,0,88
0,54.5,500,0,0,89
0,55.0,500,0,0,90
0,55.5,500,0,0,91
0,56.0,500,0,0,92
0,56.5,500,0,0,93
0,57.0,500,0,0,94
0,57.5,500,0,0,95
0,58.0,500,0,0,96
0,58.5,500,0,0,97
0,59.0,500,0,0,98
0,59.5,500,0,0,99
0,60.0,500,0,0,100
0,60.5,500,0,0,101
0,61.0,500,0,0,102
0,61.5,500,0,0,103
0,62.0,500,0,0,104
0,62.5,500,0,0,105
0,63.0,500,0,0,106
0,63.5,500,0,0,107
0,64.0,500,0,0,108
0,64.5,500,0,0,109
0,65.0,500,0,0,110
0,65.5,500,0,0,111
