x,y,z,pitch,yaw,roll
0.000,0.000,0.000,0,0,0
0.157,0.005,0.075,0,0,0
0.314,0.020,0.148,5,0,0
0.471,0.044,0.218,10,0,0
0.628,0.078,0.284,15,0,0
0.785,0.121,0.345,20,0,0
0.942,0.173,0.401,30,0,0
1.099,0.233,0.451,45,0,0
1.256,0.302,0.494,45,10,0
1.413,0.379,0.531,45,20,0
1.570,0.464,0.560,45,30,0
1.727,0.557,0.582,45,45,0
1.884,0.657,0.596,45,60,0
2.041,0.764,0.603,45,70,0
2.198,0.878,0.602,45,80,0
2.355,0.998,0.593,45,90,10
2.512,1.124,0.577,45,90,20
2.669,1.255,0.553,45,90,30
2.826,1.391,0.522,45,90,30
2.983,1.531,0.484,30,90,30
3.140,1.675,0.439,30,90,20
3.297,1.822,0.388,30,90,10
3.454,1.972,0.330,30,90,0
3.611,2.124,0.266,30,70,0
3.768,2.277,0.197,30,45,0
3.925,2.431,0.122,30,20,0
4.082,2.585,0.042,30,0,0
4.239,2.738,-0.042,15,0,0
4.396,2.890,-0.130,15,-20,10
4.553,3.040,-0.222,15,-45,20
4.710,3.187,-0.316,15,-70,30
4.867,3.330,-0.413,0,-90,45
5.024,3.470,-0.511,0,-90,30
5.181,3.605,-0.610,-10,-90,20
5.338,3.735,-0.709,-20,-90,10
5.495,3.859,-0.808,-30,-90,0
5.652,3.977,-0.905,-30,-70,0
5.809,4.089,-1.001,-30,-45,0
5.966,4.193,-1.094,-20,-20,0
6.123,4.290,-1.184,-10,-10,0
6.280,4.379,-1.271,0,0,0
