x,y,z,pitch,yaw,roll
0.000,0.000,0.000,0,0,0
0.157,0.005,0.075,5,0,0
0.314,0.020,0.148,10,0,0
0.471,0.044,0.218,15,5,0
0.628,0.078,0.284,20,10,2
0.785,0.121,0.345,25,15,4
0.942,0.173,0.401,30,20,6
1.099,0.233,0.451,35,25,8
1.256,0.302,0.494,30,30,10
1.413,0.379,0.531,25,35,8
1.570,0.464,0.560,20,30,6
1.727,0.557,0.582,15,25,4
1.884,0.657,0.596,10,20,2
2.041,0.764,0.603,5,15,0
2.198,0.878,0.602,0,10,0
2.355,0.998,0.593,-5,5,0
2.512,1.124,0.577,-10,0,0
2.669,1.255,0.553,-15,-5,-2
2.826,1.391,0.522,-20,-10,-4
2.983,1.531,0.484,-25,-15,-6
3.140,1.675,0.439,-30,-20,-8
3.297,1.822,0.388,-25,-25,-10
3.454,1.972,0.330,-20,-30,-8
3.611,2.124,0.266,-15,-25,-6
3.768,2.277,0.197,-10,-20,-4
3.925,2.431,0.122,-5,-15,-2
4.082,2.585,0.042,0,-10,0
4.239,2.738,-0.042,5,-5,0
4.396,2.890,-0.130,10,0,0
4.553,3.040,-0.222,15,5,2
4.710,3.187,-0.316,20,10,4
4.867,3.330,-0.413,25,15,6
5.024,3.470,-0.511,30,20,8
5.181,3.605,-0.610,20,25,10
5.338,3.735,-0.709,10,20,8
5.495,3.859,-0.808,0,15,6
5.652,3.977,-0.905,-10,10,4
5.809,4.089,-1.001,-20,5,2
5.966,4.193,-1.094,-10,0,0
6.123,4.290,-1.184,-5,0,0
6.280,4.379,-1.271,0,0,0
